date,temperaturemin,temperaturemax
2008-05-30,54,86
2008-05-31,68,89.1
2008-06-01,64.9,91
2008-06-02,61,84
2008-06-03,66,88
2008-06-04,72,93.9
2008-06-05,75.9,96.1
2008-06-06,75.9,99
2008-06-07,73.9,100
2008-06-08,73,100.9
2008-06-09,73.9,100
2008-06-10,73.9,100.9
2008-06-11,73.9,93
2008-06-12,73.9,89.1
2008-06-13,68,93
2008-06-14,69.1,96.1
2008-06-15,69.1,91
2008-06-16,66.9,95
2008-06-17,68,90
2008-06-18,55.9,84.9
2008-06-19,55.9,88
2008-06-20,63,91
2008-06-21,66,88
2008-06-22,64.9,87.1
2008-06-23,66.9,89.1
2008-06-24,63,91
2008-06-25,62.1,95
2008-06-26,72,97
2008-06-27,71.1,96.1
2008-06-28,70,98.1
2008-06-29,69.1,95
2008-06-30,69.1,89.1
2008-07-01,62.1,81
2008-07-02,55.9,88
2008-07-03,66.9,91.9
2008-07-04,69.1,95
2008-07-05,69.1,87.1
2008-07-06,70,87.1
2008-07-07,69.1,87.1
2008-07-08,70,88
2008-07-09,70,90
2008-07-10,71.1,89.1
2008-07-11,72,87.1
2008-07-12,68,89.1
2008-07-13,68,91
2008-07-14,69.1,79
2008-07-15,66,87.1
2008-07-16,64.9,88
2008-07-17,64,89.1
2008-07-18,64.9,91
2008-07-19,70,90
2008-07-20,71.1,93
2008-07-21,72,97
2008-07-22,72,97
2008-07-23,70,90
2008-07-24,64.9,87.1
2008-07-25,63,86
2008-07-26,66,87.1
2008-07-27,72,91
2008-07-28,70,93
2008-07-29,72,91.9
2008-07-30,75,93
2008-07-31,73,95
2008-08-01,73,93.9
2008-08-02,71.1,95
2008-08-03,70,91.9
2008-08-04,66,93.9
2008-08-05,72,96.1
2008-08-06,73,96.1
2008-08-07,73,93
2008-08-08,70,91
2008-08-09,64,89.1
2008-08-10,66,88
2008-08-11,64.9,86
2008-08-12,55.9,89.1
2008-08-13,61,73.9
2008-08-14,60.1,84.9
2008-08-15,66,91
2008-08-16,66.9,86
2008-08-17,64.9,84.9
2008-08-18,64,89.1
2008-08-19,66.9,95
2008-08-20,68,91.9
2008-08-21,70,88
2008-08-22,64,88
2008-08-23,66,88
2008-08-24,66.9,91
2008-08-25,69.1,88
2008-08-26,72,81
2008-08-27,71.1,84
2008-08-28,72,89.1
2008-08-29,70,89.1
2008-08-30,70,91
2008-08-31,69.1,90
2008-09-01,64.9,86
2008-09-02,61,87.1
2008-09-03,61,90
2008-09-04,64,90
2008-09-05,64,82
2008-09-06,71.1,88
2008-09-07,69.1,89.1
2008-09-08,66.9,90
2008-09-09,70,87.1
2008-09-10,66.9,75
2008-09-11,66.9,78.1
